timestamp,ue_id,x,y,area_id,rsrp,rsrq,sinr,cqi,serving_bs,distance
0,1,17.8576986828466,155.491969810868,7,-62.3452328864745,-5.16018824811144,5.6408402619432,6,1,112.756078454954
0,2,189.647103029063,138.91805211417,8,-91.5985380570585,-5.95000000000001,-19.6695428927953,0,2,47.4020289390804
0,3,159.53813263398,96.3292013189736,1,-75.6242630475442,-5.95000000000195,-16.1938059403396,0,2,59.3614403902286
0,4,54.3408395881839,179.055873470569,3,-59.4991872794302,-5.15793862404036,8.4868858689875,8,2,102.699409705369
0,5,71.2049619057221,184.909311568187,3,-63.122187319858,-5.16191899872295,4.86388582855972,6,2,89.3284280755207
0,6,117.152731215597,92.9702444145893,6,-46.9975712952162,-5.96266966627986,15.3304571072047,11,2,69.8826594279759
0,7,56.3554567646468,158.218768121283,3,-53.4305480218802,-5.15633295982807,14.5555251265376,11,2,96.897361301479
0,8,154.196099312639,54.9979677317107,1,-77.931230942435,-5.95000000000155,-18.5007738352303,0,2,97.9553132022282
0,9,198.337477051527,116.852881154336,1,-80.7268766579812,-5.95,-19.6695428927953,0,2,63.14660066445
0,10,82.6797519801273,55.1158796377702,4,-57.7008476579965,-4.35000000000234,8.92592440491654,8,1,40.5757121188377
0.5,1,18.2475921474437,155.779068977386,7,-56.5923078197674,-5.16038662456188,11.3937653286503,9,1,112.914466912605
0.5,2,190.439283702461,138.608899578195,8,-77.2808384154724,-5.95,-17.8503813082677,0,2,48.1387872218212
0.5,3,159.034395631638,95.0783646198906,1,-63.3813001643078,-5.95000000000113,-3.95084305710309,2,2,60.417351292941
0.5,4,54.1392464247359,178.915313105163,3,-53.4274240352236,-5.15875791492229,14.5586491131941,11,2,102.847602830533
0.5,5,70.9060467672379,186.333223325388,3,-66.1692334907432,-5.15462429172747,1.81683965767452,4,2,90.156566900026
0.5,6,116.829903046458,93.3748891126638,6,-48.6177046627454,-5.96074366897225,15.3304571072047,11,2,69.7058714521988
0.5,7,56.4054330212469,158.181337236661,3,-53.5947609530042,-5.15539456919568,14.3913121954135,11,2,96.8458943214439
0.5,8,154.198744363637,55.0254526232379,1,-86.956685292339,-5.9500000000013,-19.6695428927953,0,2,97.9287705613218
0.5,9,197.046885810096,116.180296800194,1,-72.0172038988672,-5.95,-12.5867467916625,0,2,62.5254491303439
0.5,10,81.5607905504547,55.5980011943823,4,-52.2248119461647,-4.35000000000265,14.4019601167483,11,1,39.7450766453151
1,1,18.6374856120407,156.066168143904,7,-56.2228076321214,-5.16230202456044,11.7632655162964,9,1,113.074706868804
1,2,191.231464375859,138.29974704222,8,-90.6463675813985,-5.95000000000001,-19.6695428927953,0,2,48.8792345874374
1,3,158.530658629295,93.8275279208076,1,-78.0033316810368,-5.95000000000127,-18.5728745738321,0,2,61.4847034321319
1,4,53.9376532612879,178.774752739757,3,-60.0175882185591,-5.15617171226646,7.96848492985862,7,2,102.99616913353
1,5,70.6071316287537,187.757135082588,3,-57.5578273665529,-5.16194588003803,10.4282457818648,9,2,91.0004329542385
